,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1,Alabama,AL,600542,15.3,0,All Races,2008,01,0
5,Alaska,AK,128812,20.5,0,All Races,2008,02,0
9,Arizona,AZ,1138508,20.5,0,All Races,2008,04,0
13,Arkansas,AR,472500,19.8,0,All Races,2008,05,0
17,California,CA,6166623,19.2,0,All Races,2008,06,0
21,Colorado,CO,785439,18.1,0,All Races,2008,08,0
25,Connecticut,CT,298164,10.1,0,All Races,2008,09,0
29,Delaware,DE,85208,11.7,0,All Races,2008,10,0
33,District of Columbia,DC,42390,8.6,0,All Races,2008,11,0
37,Florida,FL,3581341,24.2,0,All Races,2008,12,0
41,Georgia,GA,1700333,20.1,0,All Races,2008,13,0
45,Hawaii,HI,85490,7.7,0,All Races,2008,15,0
49,Idaho,ID,250615,19.1,0,All Races,2008,16,0
53,Illinois,IL,1542646,13.9,0,All Races,2008,17,0
57,Indiana,IN,817222,15.1,0,All Races,2008,18,0
61,Iowa,IA,248020,10.0,0,All Races,2008,19,0
65,Kansas,KS,305209,12.8,0,All Races,2008,20,0
69,Kentucky,KY,542705,15.0,0,All Races,2008,21,0
73,Louisiana,LA,732996,19.5,0,All Races,2008,22,0
77,Maine,ME,131753,12.1,0,All Races,2008,23,0
81,Maryland,MD,596241,12.3,0,All Races,2008,24,0
85,Massachusetts,MA,240442,4.4,0,All Races,2008,25,2
89,Michigan,MI,1054990,12.4,0,All Races,2008,26,0
93,Minnesota,MN,423662,9.5,0,All Races,2008,27,0
97,Mississippi,MS,479108,19.3,0,All Races,2008,28,0
101,Missouri,MO,711271,14.3,0,All Races,2008,29,0
105,Montana,MT,166021,20.4,0,All Races,2008,30,0
109,Nebraska,NE,184040,12.2,0,All Races,2008,31,0
113,Nevada,NV,529094,23.2,0,All Races,2008,32,0
117,New Hampshire,NH,134877,12.1,0,All Races,2008,33,0
121,New Jersey,NJ,1017136,13.7,0,All Races,2008,34,0
125,New Mexico,NM,404763,23.9,0,All Races,2008,35,1
129,New York,NY,2156461,13.1,0,All Races,2008,36,0
133,North Carolina,NC,1361040,17.4,0,All Races,2008,37,0
137,North Dakota,ND,61607,11.6,0,All Races,2008,38,0
141,Ohio,OH,1261883,13.1,0,All Races,2008,39,0
145,Oklahoma,OK,660010,21.5,0,All Races,2008,40,0
149,Oregon,OR,579896,18.0,0,All Races,2008,41,0
153,Pennsylvania,PA,1080141,10.6,0,All Races,2008,42,0
157,Rhode Island,RI,103424,11.8,0,All Races,2008,44,0
161,South Carolina,SC,721391,19.2,0,All Races,2008,45,0
165,South Dakota,SD,84655,12.7,0,All Races,2008,46,0
169,Tennessee,TN,777755,14.8,0,All Races,2008,47,0
173,Texas,TX,5494593,25.7,0,All Races,2008,48,0
177,Utah,UT,399117,16.3,0,All Races,2008,49,0
181,Vermont,VT,53056,10.3,0,All Races,2008,50,0
185,Virginia,VA,874962,13.2,0,All Races,2008,51,0
189,Washington,WA,796579,14.0,0,All Races,2008,53,0
193,West Virginia,WV,259978,17.4,0,All Races,2008,54,0
197,Wisconsin,WI,476388,10.0,0,All Races,2008,55,0
201,Wyoming,WY,71703,15.8,0,All Races,2008,56,0
205,Alabama,AL,623621,15.8,0,All Races,2009,01,0
209,Alaska,AK,144785,22.7,0,All Races,2009,02,0
213,Arizona,AZ,1118761,19.9,0,All Races,2009,04,0
217,Arkansas,AR,471567,19.6,0,All Races,2009,05,0
