,NAME,STABREV,percent_uninsured,time,state,county
1,"Autauga County, AL",AL,0.133,2008.0,01,001
2,"Baldwin County, AL",AL,0.16399999999999998,2008.0,01,003
3,"Barbour County, AL",AL,0.17600000000000002,2008.0,01,005
4,"Bibb County, AL",AL,0.18,2008.0,01,007
5,"Blount County, AL",AL,0.19399999999999998,2008.0,01,009
6,"Bullock County, AL",AL,0.191,2008.0,01,011
7,"Butler County, AL",AL,0.171,2008.0,01,013
8,"Calhoun County, AL",AL,0.154,2008.0,01,015
9,"Chambers County, AL",AL,0.17,2008.0,01,017
10,"Cherokee County, AL",AL,0.171,2008.0,01,019
11,"Chilton County, AL",AL,0.19,2008.0,01,021
12,"Choctaw County, AL",AL,0.159,2008.0,01,023
13,"Clarke County, AL",AL,0.168,2008.0,01,025
14,"Clay County, AL",AL,0.165,2008.0,01,027
15,"Cleburne County, AL",AL,0.17600000000000002,2008.0,01,029
16,"Coffee County, AL",AL,0.157,2008.0,01,031
17,"Colbert County, AL",AL,0.157,2008.0,01,033
18,"Conecuh County, AL",AL,0.15,2008.0,01,035
19,"Coosa County, AL",AL,0.154,2008.0,01,037
20,"Covington County, AL",AL,0.162,2008.0,01,039
21,"Crenshaw County, AL",AL,0.183,2008.0,01,041
22,"Cullman County, AL",AL,0.177,2008.0,01,043
23,"Dale County, AL",AL,0.13699999999999998,2008.0,01,045
24,"Dallas County, AL",AL,0.152,2008.0,01,047
25,"DeKalb County, AL",AL,0.201,2008.0,01,049
26,"Elmore County, AL",AL,0.151,2008.0,01,051
27,"Escambia County, AL",AL,0.203,2008.0,01,053
28,"Etowah County, AL",AL,0.16899999999999998,2008.0,01,055
29,"Fayette County, AL",AL,0.163,2008.0,01,057
30,"Franklin County, AL",AL,0.193,2008.0,01,059
31,"Geneva County, AL",AL,0.17600000000000002,2008.0,01,061
32,"Greene County, AL",AL,0.154,2008.0,01,063
33,"Hale County, AL",AL,0.168,2008.0,01,065
34,"Henry County, AL",AL,0.16399999999999998,2008.0,01,067
35,"Houston County, AL",AL,0.151,2008.0,01,069
36,"Jackson County, AL",AL,0.162,2008.0,01,071
37,"Jefferson County, AL",AL,0.141,2008.0,01,073
38,"Lamar County, AL",AL,0.16699999999999998,2008.0,01,075
39,"Lauderdale County, AL",AL,0.157,2008.0,01,077
