,Location,elig_limit,Year
23,Alabama,0.26,2008
24,Alabama,0.25,2009
25,Alabama,0.24,2010
26,Alabama,0.24,2011
27,Alabama,0.24,2012
28,Alabama,0.23,2013
29,Alabama,0.16,2014
30,Alabama,0.18,2015
31,Alabama,0.18,2016
32,Alabama,0.18,2017
33,Alabama,0.18,2018
34,Alabama,0.18,2019
35,Alabama,0.18,2020
41,Alaska,0.81,2008
42,Alaska,0.85,2009
43,Alaska,0.81,2010
44,Alaska,0.81,2011
45,Alaska,0.81,2012
46,Alaska,0.78,2013
47,Alaska,1.28,2014
48,Alaska,1.46,2015
49,Alaska,1.43,2016
50,Alaska,1.41,2017
51,Alaska,1.39,2018
52,Alaska,1.38,2019
53,Alaska,1.38,2020
59,Arizona,2.0,2008
60,Arizona,2.0,2009
61,Arizona,1.06,2010
62,Arizona,1.06,2011
63,Arizona,1.06,2012
64,Arizona,1.06,2013
65,Arizona,1.38,2014
66,Arizona,1.38,2015
67,Arizona,1.38,2016
68,Arizona,1.38,2017
69,Arizona,1.38,2018
70,Arizona,1.38,2019
71,Arizona,1.38,2020
77,Arkansas,0.18,2008
78,Arkansas,0.17,2009
79,Arkansas,0.17,2010
80,Arkansas,0.17,2011
81,Arkansas,0.17,2012
82,Arkansas,0.16,2013
83,Arkansas,1.38,2014
84,Arkansas,1.38,2015
85,Arkansas,1.38,2016
86,Arkansas,1.38,2017
87,Arkansas,1.38,2018
88,Arkansas,1.38,2019
89,Arkansas,1.38,2020
95,California,1.06,2008
96,California,1.06,2009
97,California,1.06,2010
98,California,1.06,2011
99,California,1.06,2012
100,California,1.06,2013
101,California,1.38,2014
102,California,1.38,2015
103,California,1.38,2016
104,California,1.38,2017
105,California,1.38,2018
106,California,1.38,2019
107,California,1.38,2020
113,Colorado,0.66,2008
114,Colorado,0.66,2009
115,Colorado,0.66,2010
116,Colorado,1.06,2011
117,Colorado,1.06,2012
118,Colorado,1.06,2013
119,Colorado,1.38,2014
120,Colorado,1.38,2015
121,Colorado,1.38,2016
122,Colorado,1.38,2017
123,Colorado,1.38,2018
124,Colorado,1.38,2019
125,Colorado,1.38,2020
131,Connecticut,1.91,2008
132,Connecticut,1.91,2009
133,Connecticut,1.91,2010
134,Connecticut,1.91,2011
135,Connecticut,1.91,2012
136,Connecticut,1.91,2013
137,Connecticut,2.01,2014
138,Connecticut,2.01,2015
139,Connecticut,1.55,2016
140,Connecticut,1.55,2017
141,Connecticut,1.38,2018
142,Connecticut,1.55,2019
143,Connecticut,1.6,2020
149,Delaware,1.06,2008
150,Delaware,1.21,2009
151,Delaware,1.21,2010
152,Delaware,1.2,2011
153,Delaware,1.19,2012
154,Delaware,1.2,2013
155,Delaware,1.38,2014
156,Delaware,1.38,2015
157,Delaware,1.38,2016
158,Delaware,1.38,2017
159,Delaware,1.38,2018
160,Delaware,1.38,2019
161,Delaware,1.38,2020
167,District of Columbia,2.07,2008
168,District of Columbia,2.07,2009
169,District of Columbia,2.07,2010
170,District of Columbia,2.07,2011
171,District of Columbia,2.06,2012
172,District of Columbia,2.06,2013
173,District of Columbia,2.21,2014
174,District of Columbia,2.21,2015
175,District of Columbia,2.21,2016
176,District of Columbia,2.21,2017
177,District of Columbia,2.21,2018
178,District of Columbia,2.21,2019
179,District of Columbia,2.21,2020
185,Florida,0.56,2008
186,Florida,0.55,2009
187,Florida,0.53,2010
188,Florida,0.59,2011
189,Florida,0.58,2012
190,Florida,0.56,2013
191,Florida,0.35,2014
192,Florida,0.34,2015
193,Florida,0.34,2016
194,Florida,0.33,2017
195,Florida,0.33,2018
196,Florida,0.32,2019
197,Florida,0.31,2020
203,Georgia,0.53,2008
204,Georgia,0.52,2009
205,Georgia,0.5,2010
206,Georgia,0.5,2011
207,Georgia,0.49,2012
208,Georgia,0.48,2013
209,Georgia,0.39,2014
210,Georgia,0.38,2015
211,Georgia,0.37,2016
212,Georgia,0.37,2017
213,Georgia,0.36,2018
214,Georgia,0.35,2019
215,Georgia,0.35,2020
221,Hawaii,1.0,2008
222,Hawaii,1.0,2009
223,Hawaii,1.0,2010
224,Hawaii,1.0,2011
225,Hawaii,1.0,2012
226,Hawaii,1.38,2013
227,Hawaii,1.38,2014
228,Hawaii,1.38,2015
229,Hawaii,1.38,2016
230,Hawaii,1.38,2017
231,Hawaii,1.38,2018
232,Hawaii,1.38,2019
233,Hawaii,1.38,2020
239,Idaho,0.42,2008
240,Idaho,0.28,2009
241,Idaho,0.27,2010
242,Idaho,0.39,2011
243,Idaho,0.39,2012
244,Idaho,0.37,2013
245,Idaho,0.27,2014
246,Idaho,0.27,2015
247,Idaho,0.26,2016
248,Idaho,0.26,2017
249,Idaho,0.26,2018
250,Idaho,0.25,2019
251,Idaho,1.38,2020
257,Illinois,1.91,2008
258,Illinois,1.85,2009
259,Illinois,1.85,2010
260,Illinois,1.91,2011
261,Illinois,1.91,2012
262,Illinois,1.39,2013
263,Illinois,1.38,2014
264,Illinois,1.38,2015
265,Illinois,1.38,2016
266,Illinois,1.38,2017
267,Illinois,1.38,2018
268,Illinois,1.38,2019
269,Illinois,1.38,2020
275,Indiana,0.26,2008
276,Indiana,0.26,2009
277,Indiana,0.25,2010
278,Indiana,0.36,2011
279,Indiana,0.24,2012
280,Indiana,0.24,2013
281,Indiana,0.24,2014
282,Indiana,0.24,2015
283,Indiana,1.39,2016
284,Indiana,1.39,2017
285,Indiana,1.39,2018
286,Indiana,1.39,2019
287,Indiana,1.38,2020
293,Iowa,0.89,2008
294,Iowa,0.86,2009
295,Iowa,0.83,2010
296,Iowa,0.83,2011
297,Iowa,0.82,2012
298,Iowa,0.8,2013
299,Iowa,1.38,2014
300,Iowa,1.38,2015
301,Iowa,1.38,2016
302,Iowa,1.38,2017
303,Iowa,1.38,2018
304,Iowa,1.38,2019
305,Iowa,1.38,2020
311,Kansas,0.34,2008
312,Kansas,0.34,2009
313,Kansas,0.32,2010
314,Kansas,0.32,2011
315,Kansas,0.32,2012
316,Kansas,0.31,2013
317,Kansas,0.38,2014
318,Kansas,0.38,2015
319,Kansas,0.38,2016
320,Kansas,0.38,2017
321,Kansas,0.38,2018
322,Kansas,0.38,2019
323,Kansas,0.38,2020
329,Kentucky,0.64,2008
330,Kentucky,0.62,2009
331,Kentucky,0.62,2010
332,Kentucky,0.62,2011
333,Kentucky,0.59,2012
334,Kentucky,0.57,2013
335,Kentucky,1.38,2014
336,Kentucky,1.38,2015
337,Kentucky,1.38,2016
338,Kentucky,1.38,2017
339,Kentucky,1.38,2018
340,Kentucky,1.38,2019
341,Kentucky,1.38,2020
347,Louisiana,0.2,2008
348,Louisiana,0.26,2009
349,Louisiana,0.25,2010
350,Louisiana,0.25,2011
351,Louisiana,0.25,2012
352,Louisiana,0.24,2013
353,Louisiana,0.24,2014
354,Louisiana,0.24,2015
355,Louisiana,0.24,2016
356,Louisiana,1.38,2017
357,Louisiana,1.38,2018
358,Louisiana,1.38,2019
359,Louisiana,1.38,2020
365,Maine,2.06,2008
366,Maine,2.06,2009
367,Maine,2.06,2010
368,Maine,2.0,2011
369,Maine,2.0,2012
370,Maine,2.0,2013
371,Maine,1.05,2014
372,Maine,1.05,2015
373,Maine,1.05,2016
374,Maine,1.05,2017
375,Maine,1.05,2018
376,Maine,1.38,2019
377,Maine,1.38,2020
383,Maryland,0.37,2008
384,Maryland,1.16,2009
385,Maryland,1.16,2010
386,Maryland,1.16,2011
387,Maryland,1.16,2012
388,Maryland,1.22,2013
389,Maryland,1.38,2014
390,Maryland,1.38,2015
391,Maryland,1.38,2016
392,Maryland,1.38,2017
393,Maryland,1.38,2018
394,Maryland,1.38,2019
395,Maryland,1.38,2020
401,Massachusetts,1.33,2008
402,Massachusetts,1.33,2009
403,Massachusetts,1.33,2010
404,Massachusetts,1.33,2011
405,Massachusetts,1.33,2012
406,Massachusetts,1.33,2013
407,Massachusetts,1.38,2014
408,Massachusetts,1.38,2015
409,Massachusetts,1.38,2016
410,Massachusetts,1.38,2017
411,Massachusetts,1.38,2018
412,Massachusetts,1.38,2019
413,Massachusetts,1.38,2020
419,Michigan,0.61,2008
420,Michigan,0.66,2009
421,Michigan,0.64,2010
422,Michigan,0.64,2011
423,Michigan,0.63,2012
424,Michigan,0.64,2013
425,Michigan,1.38,2014
426,Michigan,1.38,2015
427,Michigan,1.38,2016
428,Michigan,1.38,2017
429,Michigan,1.38,2018
430,Michigan,1.38,2019
431,Michigan,1.38,2020
437,Minnesota,2.75,2008
438,Minnesota,2.75,2009
439,Minnesota,2.15,2010
440,Minnesota,2.15,2011
441,Minnesota,2.15,2012
442,Minnesota,2.15,2013
443,Minnesota,2.05,2014
444,Minnesota,1.38,2015
445,Minnesota,1.38,2016
446,Minnesota,1.38,2017
447,Minnesota,1.38,2018
448,Minnesota,1.38,2019
449,Minnesota,1.38,2020
455,Mississippi,0.32,2008
456,Mississippi,0.46,2009
457,Mississippi,0.44,2010
458,Mississippi,0.44,2011
459,Mississippi,0.44,2012
460,Mississippi,0.29,2013
461,Mississippi,0.29,2014
462,Mississippi,0.28,2015
463,Mississippi,0.27,2016
464,Mississippi,0.27,2017
