,Location,Year,Adults 19-64,Children 0-18,Total
12,Alabama,2008,0.1928,0.0849,0.161
13,Alabama,2009,0.201,0.063,0.16
14,Alabama,2010,0.2154,0.0638,0.171
15,Alabama,2011,0.2079,0.0567,0.16
16,Alabama,2012,0.201,0.044000000000000004,0.155
17,Alabama,2013,0.205,0.05,0.16
18,Alabama,2014,0.182,0.038,0.14
19,Alabama,2015,0.157,0.027999999999999997,0.12
20,Alabama,2016,0.14300000000000002,0.026000000000000002,0.11
21,Alabama,2017,0.147,0.03,0.113
22,Alabama,2018,0.15697,0.03478,0.122
23,Alabama,2019,0.14899600000000002,0.033907,0.11598
24,Alaska,2008,0.2607,0.1352,0.223
25,Alaska,2009,0.261,0.13699999999999998,0.222
26,Alaska,2010,0.2365,0.1004,0.19399999999999998
27,Alaska,2011,0.2508,0.1402,0.22
28,Alaska,2012,0.256,0.133,0.22
29,Alaska,2013,0.24,0.122,0.2
30,Alaska,2014,0.223,0.11900000000000001,0.19
31,Alaska,2015,0.19,0.091,0.16
32,Alaska,2016,0.182,0.109,0.16
33,Alaska,2017,0.182,0.095,0.155
34,Alaska,2018,0.15911,0.08195,0.13547
35,Alaska,2019,0.153238,0.073279,0.12943
36,Arizona,2008,0.2333,0.1697,0.213
37,Arizona,2009,0.233,0.128,0.19899999999999998
38,Arizona,2010,0.2237,0.134,0.196
39,Arizona,2011,0.2284,0.133,0.2
40,Arizona,2012,0.235,0.133,0.204
41,Arizona,2013,0.23800000000000002,0.127,0.2
42,Arizona,2014,0.185,0.106,0.16
43,Arizona,2015,0.14800000000000002,0.09,0.13
44,Arizona,2016,0.136,0.078,0.12
45,Arizona,2017,0.13699999999999998,0.079,0.12
46,Arizona,2018,0.14652,0.08212,0.12744
47,Arizona,2019,0.153876,0.086551,0.134139
48,Arkansas,2008,0.2568,0.0937,0.207
49,Arkansas,2009,0.248,0.069,0.19399999999999998
50,Arkansas,2010,0.2609,0.0731,0.204
51,Arkansas,2011,0.2573,0.0596,0.2
52,Arkansas,2012,0.249,0.059000000000000004,0.192
53,Arkansas,2013,0.244,0.065,0.19
54,Arkansas,2014,0.17800000000000002,0.049,0.14
55,Arkansas,2015,0.136,0.052000000000000005,0.11
56,Arkansas,2016,0.11800000000000001,0.040999999999999995,0.09
57,Arkansas,2017,0.11599999999999999,0.047,0.096
58,Arkansas,2018,0.12343,0.040839999999999994,0.09869
59,Arkansas,2019,0.131734,0.056060000000000006,0.10916500000000001
60,California,2008,0.2344,0.1147,0.198
61,California,2009,0.247,0.099,0.20199999999999999
62,California,2010,0.2552,0.0961,0.20800000000000002
63,California,2011,0.2533,0.0859,0.2
64,California,2012,0.25,0.084,0.201
65,California,2013,0.24100000000000002,0.079,0.19
66,California,2014,0.175,0.057,0.14
67,California,2015,0.121,0.035,0.1
68,California,2016,0.105,0.032,0.08
69,California,2017,0.102,0.031,0.08199999999999999
70,California,2018,0.1019,0.03059,0.08185
71,California,2019,0.110203,0.036147000000000006,0.089561
72,Colorado,2008,0.2068,0.1406,0.188
73,Colorado,2009,0.204,0.10400000000000001,0.175
74,Colorado,2010,0.2069,0.1029,0.177
75,Colorado,2011,0.2004,0.0974,0.17
76,Colorado,2012,0.19399999999999998,0.09,0.16399999999999998
77,Colorado,2013,0.18600000000000003,0.08900000000000001,0.16
78,Colorado,2014,0.142,0.064,0.12
79,Colorado,2015,0.111,0.044000000000000004,0.09
80,Colorado,2016,0.10400000000000001,0.045,0.09
81,Colorado,2017,0.10300000000000001,0.043,0.086
82,Colorado,2018,0.10347,0.047619999999999996,0.08796
83,Colorado,2019,0.10467699999999999,0.052736,0.090613
84,Connecticut,2008,0.1204,0.0543,0.10099999999999999
85,Connecticut,2009,0.126,0.040999999999999995,0.102
86,Connecticut,2010,0.1324,0.0316,0.10400000000000001
87,Connecticut,2011,0.1272,0.0262,0.1
88,Connecticut,2012,0.134,0.038,0.107
89,Connecticut,2013,0.134,0.043,0.11
90,Connecticut,2014,0.096,0.042,0.08
91,Connecticut,2015,0.083,0.036000000000000004,0.07
92,Connecticut,2016,0.069,0.025,0.06
93,Connecticut,2017,0.079,0.032,0.066
94,Connecticut,2018,0.07637000000000001,0.0266,0.06308
95,Connecticut,2019,0.083451,0.035285000000000004,0.070765
96,Delaware,2008,0.1362,0.0937,0.124
97,Delaware,2009,0.146,0.057999999999999996,0.121
98,Delaware,2010,0.1411,0.0555,0.11699999999999999
99,Delaware,2011,0.1301,0.0371,0.1
100,Delaware,2012,0.124,0.035,0.099
101,Delaware,2013,0.14300000000000002,0.054000000000000006,0.12
102,Delaware,2014,0.102,0.053,0.09
103,Delaware,2015,0.081,0.024,0.06
104,Delaware,2016,0.08,0.037000000000000005,0.07
105,Delaware,2017,0.079,0.032,0.066
106,Delaware,2018,0.08071,0.03921,0.06947
107,Delaware,2019,0.097038,0.041044,0.081804
108,District of Columbia,2008,0.1014,0.0383,0.086
109,District of Columbia,2009,0.094,0.034,0.08
110,District of Columbia,2010,0.1037,0.0203,0.086
111,District of Columbia,2011,0.0975,0.0401,0.09
112,District of Columbia,2012,0.07400000000000001,,0.062
113,District of Columbia,2013,0.085,0.023,0.07
114,District of Columbia,2014,0.07200000000000001,0.024,0.06
115,District of Columbia,2015,0.049,,0.04
116,District of Columbia,2016,0.048,0.035,0.04
117,District of Columbia,2017,0.049,,0.040999999999999995
118,District of Columbia,2018,0.040310000000000006,,0.0353
119,District of Columbia,2019,0.044968,,0.039849
120,Florida,2008,0.2752,0.1837,0.249
121,Florida,2009,0.287,0.153,0.25
122,Florida,2010,0.3009,0.1352,0.255
123,Florida,2011,0.2973,0.1253,0.25
124,Florida,2012,0.289,0.114,0.24100000000000002
125,Florida,2013,0.29,0.11800000000000001,0.24
126,Florida,2014,0.24100000000000002,0.096,0.2
127,Florida,2015,0.19699999999999998,0.07200000000000001,0.16
128,Florida,2016,0.185,0.065,0.15
129,Florida,2017,0.191,0.07200000000000001,0.159
130,Florida,2018,0.19337000000000001,0.0775,0.16258
131,Florida,2019,0.195167,0.075159,0.163459
132,Georgia,2008,0.2502,0.1194,0.209
133,Georgia,2009,0.257,0.113,0.212
134,Georgia,2010,0.2722,0.1031,0.22
135,Georgia,2011,0.2713,0.1019,0.22
136,Georgia,2012,0.259,0.094,0.209
137,Georgia,2013,0.261,0.1,0.21
138,Georgia,2014,0.222,0.079,0.18
139,Georgia,2015,0.19399999999999998,0.07400000000000001,0.16
140,Georgia,2016,0.182,0.067,0.15
141,Georgia,2017,0.188,0.07200000000000001,0.154
142,Georgia,2018,0.19205,0.08025,0.15884
143,Georgia,2019,0.189408,0.073439,0.155115
144,Hawaii,2008,0.0943,0.036000000000000004,0.078
145,Hawaii,2009,0.098,0.027999999999999997,0.078
146,Hawaii,2010,0.1062,0.0392,0.087
147,Hawaii,2011,0.1017,0.04,0.08
148,Hawaii,2012,0.094,0.033,0.077
149,Hawaii,2013,0.10099999999999999,0.034,0.08
150,Hawaii,2014,0.07,0.026000000000000002,0.06
